ID: 1019, Elder Razormaw, lvl 29 -> CLT 1019 -> RLT 24064 -> Item ID: 1406, lvl 21 Pearl-encrusted Spear and 67 others
ID: 2337, Dark Strand Voidcaller, lvl 29 -> CLT 2337 -> RLT 24060 -> Item ID: 1220, lvl 20 Lupine Axe and 68 others
ID: 205, Nightbane Dark Runner, lvl 29 -> CLT 205 -> RLT 24064 -> Item ID: 1406, lvl 21 Pearl-encrusted Spear and 30 others
ID: 570, Brain Eater, lvl 29 -> CLT 570 -> RLT 24064 -> Item ID: 1406, lvl 21 Pearl-encrusted Spear and 30 others
ID: 785, Skeletal Warder, lvl 29 -> CLT 785 -> RLT 24064 -> Item ID: 1406, lvl 21 Pearl-encrusted Spear and 30 others
ID: 2344, Dun Garok Mountaineer, lvl 29 -> CLT 2344 -> RLT 24064 -> Item ID: 1406, lvl 21 Pearl-encrusted Spear and 30 others
ID: 2368, Daggerspine Shorestalker, lvl 29 -> CLT 2368 -> RLT 24064 -> Item ID: 1406, lvl 21 Pearl-encrusted Spear and 30 others
ID: 3754, Xavian Betrayer, lvl 29 -> CLT 3754 -> RLT 24064 -> Item ID: 1406, lvl 21 Pearl-encrusted Spear and 30 others
ID: 3755, Xavian Felsworn, lvl 29 -> CLT 3755 -> RLT 24064 -> Item ID: 1406, lvl 21 Pearl-encrusted Spear and 30 others
ID: 3804, Forsaken Intruder, lvl 29 -> CLT 3804 -> RLT 24064 -> Item ID: 1406, lvl 21 Pearl-encrusted Spear and 30 others
ID: 4013, Pridewing Skyhunter, lvl 24 -> CLT 4013 -> RLT 24077 -> Item ID: 1219, lvl 16 Redridge Machete and 62 others
ID: 4100, Screeching Harpy, lvl 29 -> CLT 4100 -> RLT 24064 -> Item ID: 1406, lvl 21 Pearl-encrusted Spear and 30 others
ID: 4107, Highperch Wyvern, lvl 29 -> CLT 4107 -> RLT 24064 -> Item ID: 1406, lvl 21 Pearl-encrusted Spear and 30 others
ID: 4109, Highperch Consort, lvl 29 -> CLT 4109 -> RLT 24064 -> Item ID: 1406, lvl 21 Pearl-encrusted Spear and 30 others
ID: 4249, Pesterhide Snarler, lvl 29 -> CLT 4249 -> RLT 24064 -> Item ID: 1406, lvl 21 Pearl-encrusted Spear and 30 others
ID: 10756, Scalding Elemental, lvl 29 -> CLT 10756 -> RLT 24064 -> Item ID: 1406, lvl 21 Pearl-encrusted Spear and 30 others
ID: 10761, Grimtotem Reaver, lvl 28 -> CLT 10761 -> RLT 24064 -> Item ID: 1406, lvl 21 Pearl-encrusted Spear and 30 others
ID: 1018, Highland Razormaw, lvl 28 -> CLT 1018 -> RLT 24064 -> Item ID: 1406, lvl 21 Pearl-encrusted Spear
ID: 4119, Elder Cloud Serpent, lvl 29 -> CLT 4119 -> RLT 24064 -> Item ID: 1406, lvl 21 Pearl-encrusted Spear
ID: 4202, Gerenzo Wrenchwhistle, lvl 27 -> CLT 4202 -> RLT 24064 -> Item ID: 1406, lvl 21 Pearl-encrusted Spear
ID: 11681, Horde Deforester, lvl 28 -> CLT 11681 -> RLT 24064 -> Item ID: 1406, lvl 21 Pearl-encrusted Spear
ID: 431, Shadowhide Slayer, lvl 26 -> CLT 431 -> RLT 24060 -> Item ID: 1220, lvl 20 Lupine Axe and 29 others
ID: 533, Nightbane Shadow Weaver, lvl 28 -> CLT 533 -> RLT 24065 -> Item ID: 12989, lvl 22 Gargoyle's Bite
ID: 604, Plague Spreader, lvl 28 -> CLT 604 -> RLT 24065 -> Item ID: 12989, lvl 22 Gargoyle's Bite
ID: 892, Splinter Fist Taskmaster, lvl 28 -> CLT 892 -> RLT 24065 -> Item ID: 12989, lvl 22 Gargoyle's Bite
ID: 1014, Mosshide Alpha, lvl 27 -> CLT 1014 -> RLT 24065 -> Item ID: 12989, lvl 22 Gargoyle's Bite
ID: 1044, Flamesnorting Whelp, lvl 27 -> CLT 1044 -> RLT 24064 -> Item ID: 1406, lvl 21 Pearl-encrusted Spear
ID: 1051, Dark Iron Dwarf, lvl 28 -> CLT 1051 -> RLT 24065 -> Item ID: 12989, lvl 22 Gargoyle's Bite
ID: 1110, Skeletal Raider, lvl 28 -> CLT 1110 -> RLT 24065 -> Item ID: 12989, lvl 22 Gargoyle's Bite
ID: 1158, Cursed Marine, lvl 28 -> CLT 1158 -> RLT 24065 -> Item ID: 12989, lvl 22 Gargoyle's Bite
ID: 2268, Hillsbrad Footman, lvl 26 -> CLT 2268 -> RLT 24060 -> Item ID: 1220, lvl 20 Lupine Axe and 29 others
ID: 2270, Hillsbrad Sentry, lvl 28 -> CLT 2270 -> RLT 24065 -> Item ID: 12989, lvl 22 Gargoyle's Bite
ID: 2373, Mudsnout Shaman, lvl 28 -> CLT 2373 -> RLT 24065 -> Item ID: 12989, lvl 22 Gargoyle's Bite
ID: 2385, Feral Mountain Lion, lvl 28 -> CLT 2385 -> RLT 24065 -> Item ID: 12989, lvl 22 Gargoyle's Bite
ID: 2387, Hillsbrad Councilman, lvl 26 -> CLT 2387 -> RLT 24060 -> Item ID: 1220, lvl 20 Lupine Axe and 29 others
